Year_Month,Average_Close
2014-09,407.18
2014-10,364.15
2014-11,366.1
2014-12,341.27
2015-01,248.78
2015-02,234.15
2015-03,269.04
2015-04,235.49
2015-05,237.0
2015-06,238.08
2015-07,279.56
2015-08,250.73
2015-09,233.6
2015-10,264.86
2015-11,348.88
2015-12,424.46
2016-01,410.84
2016-02,404.41
2016-03,416.53
2016-04,434.34
2016-05,461.95
2016-06,642.87
2016-07,661.36
2016-08,579.59
2016-09,605.85
2016-10,643.55
2016-11,726.35
2016-12,828.06
2017-01,914.92
2017-02,1062.53
2017-03,1129.37
2017-04,1206.64
2017-05,1895.38
2017-06,2636.2
2017-07,2519.42
2017-08,3880.99
2017-09,4064.84
2017-10,5360.07
2017-11,7813.13
2017-12,15294.27
2018-01,13085.56
2018-02,9472.0
2018-03,9040.56
2018-04,8033.6
2018-05,8451.0
2018-06,6793.51
2018-07,7146.35
2018-08,6700.13
2018-09,6610.68
2018-10,6485.12
2018-11,5404.25
2018-12,3717.49
2019-01,3701.55
2019-02,3711.91
2019-03,3976.07
2019-04,5178.47
2019-05,7309.69
2019-06,9415.9
2019-07,10669.34
2019-08,10643.25
2019-09,9814.07
2019-10,8411.93
2019-11,8373.57
2019-12,7284.01
2020-01,8389.27
2020-02,9630.72
2020-03,6871.02
2020-04,7224.48
2020-05,9263.15
2020-06,9489.23
2020-07,9589.9
2020-08,11652.39
2020-09,10660.28
2020-10,11886.98
2020-11,16645.76
2020-12,21983.14
2021-01,34761.65
2021-02,46306.8
2021-03,54998.01
2021-04,57206.72
2021-05,46443.29
2021-06,35845.15
2021-07,34444.97
2021-08,45709.02
2021-09,45939.77
2021-10,57911.97
2021-11,60621.49
2021-12,49263.21
2022-01,41114.42
2022-02,40763.47
2022-03,41966.24
2022-04,41435.32
2022-05,31706.11
2022-06,24383.69
2022-07,21539.25
2022-08,22366.27
2022-09,19804.78
2022-10,19650.53
2022-11,17600.81
2022-12,16949.61
2023-01,20250.72
2023-02,23304.54
2023-03,25116.9
2023-04,28857.57
2023-05,27499.31
2023-06,27763.2
2023-07,30057.47
2023-08,27852.79
2023-09,26306.14
2023-10,29755.9
2023-11,36596.16
2023-12,42546.89
2024-01,42919.61
2024-02,49875.17
2024-03,67702.44
2024-04,66652.49
